original,english,french,espanol,italiano,german,dutch,
Help us connect you as fast as possible by completing the information we have for your location.,Help us connect you as fast as possible by completing the information we have for your location.,Aidez-nous à vous connecter le plus rapidement possible en complétant les informations dont nous disposons pour votre emplacement.,Ayúdanos a conectarte lo más rápido posible completando la información que tenemos para tu ubicación.,Aiutaci a connetterti il ​​più velocemente possibile completando le informazioni che abbiamo per la tua posizione.,"Helfen Sie uns, Sie so schnell wie möglich zu verbinden, indem Sie die Informationen vervollständigen, die wir für Ihren Standort haben.",Help ons u zo snel mogelijk te verbinden door de informatie in te vullen die we voor uw locatie hebben.,
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
buiding type,buiding type,type de bâtiment,tipo de edificio,tipo edilizio,Gebäudetyp,type gebouw,
floor number,floor number,numéro d'étage,numero de piso,numero del piano,Stockwerk Nummer,verdieping nummer,
house number,house number,numéro de maison,número de casa,numero di casa,Hausnummer,huisnummer,
technology,technology,La technologie,tecnología,tecnologia,Technologie,technologie,
confirm information,confirm information,confirmer les informations,confirmar información,confermare le informazioni,Angaben bestätigen,informatie bevestigen,
skip,skip,sauter,saltar,Salta,überspringen,overslaan,
confirmrequest.component,confirmrequest.component,confirmrequest.component,confirmrequest.component,confirmrequest.component,confirmrequest.component,confirmrequest.component,
Request confirmed,Request confirmed,Demande confirmée,Solicitud confirmada,Richiesta confermata,Anfrage bestätigt,Aanvraag bevestigd,
Congratulations,Congratulations,Toutes nos félicitations,Felicidades,Congratulazioni,Herzliche Glückwünsche,Gefeliciteerd,
Your request has been submitted. We have sent you a confirmation email which explains the next steps to getting your Quick Connect internet.,Your request has been submitted. We have sent you a confirmation email which explains the next steps to getting your Quick Connect internet.,Votre requête à bien été envoyée. Nous vous avons envoyé un e-mail de confirmation qui explique les prochaines étapes pour obtenir votre connexion Internet rapide.,Su solicitud ha sido enviada. Le hemos enviado un correo electrónico de confirmación que explica los siguientes pasos para obtener su conexión rápida a Internet.,La tua richiesta è stata inviata. Ti abbiamo inviato un'e-mail di conferma che spiega i passaggi successivi per ottenere il tuo Quick Connect Internet.,"Ihre Anfrage wurde übermittelt. Wir haben Ihnen eine Bestätigungs-E-Mail gesendet, in der die nächsten Schritte zum Erhalt Ihres Quick Connect-Internets erläutert werden.",Uw aanvraag is ingediend. We hebben je een bevestigingsmail gestuurd waarin de volgende stappen worden uitgelegd om je Quick Connect-internet te krijgen.,
summary of next steps here .....,summary of next steps here .....,résumé des prochaines étapes ici .....,resumen de los próximos pasos aquí .....,riepilogo dei prossimi passi qui .....,Zusammenfassung der nächsten Schritte hier .....,samenvatting van de volgende stappen hier .....,
loginornew.component,loginornew.component,loginornew.component,loginornew.component,loginornew.component,loginornew.component,loginornew.component,
Request connection,Request connection,Demander une connexion,Solicitar conexión,Richiedi connessione,Verbindung anfordern,Aansluiting aanvragen,
New to our services?,New to our services?,Nouveau dans nos services ?,¿Nuevo en nuestros servicios?,Nuovo ai nostri servizi?,Neu bei unseren Dienstleistungen?,Nieuw bij onze diensten?,
Create an account,Create an account,Créer un compte,Crea una cuenta,Creare un account,Ein Konto erstellen,Account aanmaken,
else,else,autre,más,altro,anders,anders,
Login,Login,Connexion,Acceso,Login,Anmeldung,Log in,
Account name,Account name,Nom du compte,Nombre de la cuenta,Nome utente,Kontobezeichnung,Accountnaam,
Password,Password,Mot de passe,Clave,Parola d'ordine,Passwort,Wachtwoord,
Remember me,Remember me,Souviens-toi de moi,Acuérdate de mí,Ricordati di me,Erinnere dich an mich,Onthoud mij,
Forgot password,Forgot password,Mot de passe oublié,Se te olvidó tu contraseña,Ha dimenticato la password,Passwort vergessen,Wachtwoord vergeten,
serviceselect.component,serviceselect.component,serviceselect.component,serviceselect.component,serviceselect.component,serviceselect.component,serviceselect.component,
Services,Services,Prestations de service,Servicios,Servizi,Dienstleistungen,Diensten,
"To request a connection, choose the services you would like. You will be contacted by email with details of our offers. You may also request to be called by our help desk.","To request a connection, choose the services you would like. You will be contacted by email with details of our offers. You may also request to be called by our help desk.","Pour demander une connexion, choisissez les services que vous souhaitez. Vous serez contacté par email avec les détails de nos offres. Vous pouvez également demander à être appelé par notre service d'assistance.","Para solicitar una conexión, elija los servicios que desea. Será contactado por correo electrónico con detalles de nuestras ofertas. También puede solicitar que lo llame nuestro servicio de asistencia.","Per richiedere una connessione, scegli i servizi che desideri. Verrai ricontattato via mail con i dettagli delle nostre offerte. Puoi anche richiedere di essere chiamato dal nostro help desk.","Um eine Verbindung anzufordern, wählen Sie die gewünschten Dienste aus. Sie werden per E-Mail mit Details zu unseren Angeboten kontaktiert. Sie können auch anfordern, von unserem Helpdesk angerufen zu werden.","Om een ​​verbinding aan te vragen, kiest u de diensten die u wenst. U wordt per e-mail gecontacteerd met details over onze aanbiedingen. U kunt ook verzoeken om gebeld te worden door onze helpdesk.",
Services selection,Services selection,Sélection de services,Selección de servicios,Selezione dei servizi,Auswahl der Dienste,Diensten selectie,
Internet,Internet,l'Internet,Internet,Internet,Internet,internetten,
Video,Video,Vidéo,Video,video,Video,Video,
Wifi extenders,Wifi extenders,Prolongateurs Wi-Fi,extensores wifi,Estensori Wi-Fi,WLAN-Extender,Wifi-extenders,
I wish to be contact by,I wish to be contact by,Je souhaite être contacté par,Deseo ser contactado por,Desidero essere contattato da,Ich möchte kontaktiert werden von,Ik wens gecontacteerd te worden door,
Telephone,Telephone,Téléphone,Teléfono,Telefono,Telefon,Telefoon,
SMS,SMS,SMS,SMS,sms,SMS,sms,
Confirm,Confirm,Confirmer,Confirmar,Confermare,Bestätigen,Bevestigen,
